dataset, median, 90th, 95th, 99th, max, mean, mse, mape, pccs, , query_dur_ms
cols_6_distinct_10_corr_4_skew_8, 1.1, 1.7142857142857142, 2.0, 3.5, 6.0, 1.2691335361522806, 278.999, 24.301672866489817, (0.9999057298928357, 0.0), 7.047712326049805
cols_6_distinct_10_corr_6_skew_2, 1.131578947368421, 2.0, 2.0, 4.0, 6.0, 1.3091262789891338, 223.231, 28.412094694041436, (0.9998606368699474, 0.0), 7.168704986572266
cols_6_distinct_10_corr_6_skew_4, 1.119435736677116, 1.8571428571428572, 2.0, 3.0, 8.0, 1.2911946804199774, 157.322, 27.033475863702073, (0.9999018374628235, 0.0), 7.247300386428833
cols_6_distinct_10_corr_6_skew_6, 1.1111111111111112, 1.6666666666666667, 2.0, 3.0, 6.0, 1.2601183438348573, 493.17, 23.6229338700574, (0.9998082905349415, 0.0), 7.018855333328247
cols_6_distinct_10_corr_6_skew_8, 1.1111111111111112, 2.0, 2.0, 3.0, 7.0, 1.2894927294328322, 1664.07, 25.307450350465317, (0.9997032702404237, 0.0), 7.063435316085815
cols_6_distinct_10_corr_8_skew_2, 1.125, 2.0, 2.0, 3.0, 6.0, 1.3039692680390171, 372.064, 27.518057607203318, (0.999456244934172, 0.0), 7.07239031791687
cols_6_distinct_10_corr_8_skew_4, 1.1408899181209162, 2.0, 2.5, 4.0, 7.0, 1.3716438128072455, 342.97, 32.95863698212449, (0.9994682091815809, 0.0), 6.887860059738159
cols_6_distinct_10_corr_8_skew_6, 1.1381479071784861, 2.0, 2.0, 4.0, 6.0, 1.3176455556862279, 1466.23, 28.772326172653646, (0.9994271875084244, 0.0), 7.13098669052124
cols_6_distinct_10_corr_8_skew_8, 1.133739837398374, 2.0, 2.3333333333333335, 3.5049999999999955, 7.0, 1.3410731199965285, 2057.214, 31.004127884951572, (0.9997867642287067, 0.0), 7.12760591506958
cols_6_distinct_100_corr_2_skew_2, 1.0960615153788447, 2.0, 2.0, 3.0, 5.0, 1.302639799018288, 317.641, 24.382850375239695, (0.9998147095684797, 0.0), 7.193239212036133
cols_6_distinct_100_corr_2_skew_4, 1.0909090909090908, 2.0, 2.0, 3.0, 4.0, 1.284412647181673, 320.395, 23.09906312166442, (0.9998180087254501, 0.0), 7.196228504180908
cols_6_distinct_100_corr_2_skew_6, 1.0904995904995904, 2.0, 2.0, 3.0049999999999955, 5.0, 1.2903704604006319, 314.111, 23.75629362010337, (0.9999845057659481, 0.0), 7.138634920120239
cols_6_distinct_100_corr_2_skew_8, 1.07465783117607, 2.0, 2.0, 3.0, 5.0, 1.2735989228137095, 808.333, 23.181363354935762, (0.9999856919414725, 0.0), 7.1212241649627686
cols_6_distinct_100_corr_4_skew_2, 1.1, 1.8504273504273514, 2.0, 3.0, 6.0, 1.2695291353823592, 407.39, 22.26879019594272, (0.9997740097783605, 0.0), 7.127242088317871
cols_6_distinct_100_corr_4_skew_4, 1.1, 2.0, 2.0, 3.0049999999999955, 5.0, 1.288439111098303, 574.456, 24.12177637991623, (0.9996822516243891, 0.0), 7.1948018074035645
cols_6_distinct_100_corr_4_skew_6, 1.0952380952380953, 2.0, 2.0, 4.0, 7.0, 1.318996525324501, 581.491, 26.38516329359953, (0.9997020441838418, 0.0), 7.308267593383789
cols_6_distinct_100_corr_4_skew_8, 1.0952380952380953, 2.0, 2.0, 3.009999999999991, 6.0, 1.3042871795479696, 3113.387, 25.846239470057274, (0.9999351466699273, 0.0), 7.09894585609436
cols_6_distinct_100_corr_6_skew_2, 1.1, 2.0, 2.0, 3.0, 6.0, 1.288865574033865, 610.255, 24.974306193948532, (0.9996308302402657, 0.0), 7.15074610710144
cols_6_distinct_100_corr_6_skew_4, 1.1, 2.0, 2.0, 3.0, 6.0, 1.2954445475759053, 337.113, 24.68419491513247, (0.9997699196033423, 0.0), 7.158764600753784
cols_6_distinct_100_corr_6_skew_6, 1.1111111111111112, 2.0, 2.0, 3.0, 12.0, 1.319526293100995, 483.541, 28.352525290195963, (0.999797489923796, 0.0), 7.149416923522949
cols_6_distinct_100_corr_6_skew_8, 1.1246468926553672, 2.0, 2.0, 3.0, 6.0, 1.338427844954867, 2336.645, 30.458893971792932, (0.9997741687128517, 0.0), 7.121937990188599
cols_6_distinct_100_corr_8_skew_2, 1.116025641025641, 2.0, 2.3416666666666592, 4.0, 5.0, 1.3406698563477804, 294.384, 29.52746026303878, (0.9998408641815714, 0.0), 7.1578145027160645
cols_6_distinct_100_corr_8_skew_4, 1.1149442160892544, 2.0, 2.5, 4.0, 7.0, 1.3536600538364858, 650.443, 30.81650960022556, (0.9996367518537224, 0.0), 7.089524745941162
cols_6_distinct_100_corr_8_skew_6, 1.1176470588235294, 2.0, 2.5, 4.0, 6.333333333333333, 1.3594642530574352, 1443.489, 30.49156946500422, (0.9992622244665917, 0.0), 7.191269397735596
cols_6_distinct_100_corr_8_skew_8, 1.140486807878112, 2.0, 2.5, 4.0, 6.0, 1.3654660560753737, 3326.44, 32.65247040094829, (0.9999655168482595, 0.0), 7.163981199264526
cols_6_distinct_1000_corr_2_skew_2, 1.125, 2.0, 3.0, 4.0, 6.0, 1.4403663737488563, 878.186, 38.05233855499754, (0.9999514767243601, 0.0), 11.870940208435059
cols_6_distinct_1000_corr_2_skew_4, 1.1, 2.0, 3.0, 4.0, 7.0, 1.4117890563345303, 1368.454, 35.30942916300413, (0.9999194544837422, 0.0), 11.910916328430176
cols_6_distinct_1000_corr_2_skew_6, 1.1373248922413794, 2.0, 3.0, 4.0, 5.0, 1.4281547513823778, 3847.583, 36.166841391876915, (0.9998204751664347, 0.0), 11.917364358901978
cols_6_distinct_1000_corr_2_skew_8, 1.125, 2.0, 2.5, 4.0, 6.0, 1.405506380260072, 3482.51, 33.14466452715296, (0.9998638810636749, 0.0), 11.885055780410767
cols_6_distinct_1000_corr_4_skew_2, 1.094823311626062, 2.0, 3.0, 4.0, 5.0, 1.4162801011837505, 1365.368, 35.46200752261471, (0.9997388452545642, 0.0), 11.88553261756897
cols_6_distinct_1000_corr_4_skew_4, 1.1121870357970245, 2.0, 3.0, 4.0, 6.0, 1.4394922947825894, 3419.921, 38.04477876327793, (0.9990150719372444, 0.0), 11.878553867340088
cols_6_distinct_1000_corr_4_skew_6, 1.1192461995737664, 2.0, 3.0, 4.0, 6.0, 1.4196471499590448, 1955.459, 35.058361480585994, (0.9998766452609099, 0.0), 11.871705293655396
cols_6_distinct_1000_corr_4_skew_8, 1.1666666666666667, 2.0, 3.0, 4.0, 5.0, 1.4684709677597796, 9803.109, 37.77843096923097, (0.9997484150819991, 0.0), 11.859448671340942
cols_6_distinct_1000_corr_6_skew_2, 1.1271284271284272, 2.0, 3.0, 4.0, 9.0, 1.4473676573057943, 3880.711, 35.49854014642911, (0.9994379086932323, 0.0), 11.85103702545166
cols_6_distinct_1000_corr_6_skew_4, 1.1666666666666667, 2.0, 3.0, 4.0, 9.0, 1.4603796758025729, 10831.813, 39.393931130232545, (0.9989594661887923, 0.0), 11.855796575546265
cols_6_distinct_1000_corr_6_skew_6, 1.2, 2.0, 3.0, 5.0, 17.0, 1.4803401669562386, 19033.859, 38.50305580842573, (0.9992080757937196, 0.0), 11.853531122207642
cols_6_distinct_1000_corr_6_skew_8, 1.2, 2.0, 3.0, 5.0, 15.0, 1.4790361194851003, 35278.495, 41.73757578855123, (0.9995654668904643, 0.0), 11.889997959136963
cols_6_distinct_1000_corr_8_skew_2, 1.105643553389455, 2.0, 3.0, 4.2489655172413725, 29.0, 1.4504444594838888, 4575.884, 31.90697213941655, (0.9998081869171728, 0.0), 11.847612857818604
